자치구,법정동,주거점수,교통점수,치안점수,생활점수_x,보증금(만원),임대료(만원),건축년도,공급건수,전월세평균,가격점수,안정성점수,공급점수,노후도점수,가장가까운역,거리_km,Unnamed: 0,평균소음(dB),공원수,병의원수,점포수,살인,강도,강간·강제추행,절도,폭력,CCTV,CCTV밀도(대/㎢),가로등수,가로등밀도(개/㎢),위도(법정동),경도(법정동),근처버스정류장수
성북구,동소문동2가,0.698483653,0.811664969,0.731130047,0.539094027,8353.508772,27.4596982,1991.850649,18,8380.96847,91.44182474,33.33333333,0.106540397,116.2987013,한성대입구,0.138933191,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58872066,127.0082647,31
성북구,보문동1가,0.510631491,0.825607347,0.731130047,0.539094027,30241.97352,40.12567581,2015.89498,103.3333333,30282.0992,68.14646684,33.33333333,0.611620795,68.21003908,보문,0.136200637,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58649816,127.0196676,27
성북구,보문동5가,0.678203246,0.787162746,0.731130047,0.539094027,6430.514304,39.33661896,2002.266088,108.3333333,6469.850923,93.47460413,33.33333333,0.64121535,95.46782393,보문,0.327293016,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58239847,127.0200852,20
성북구,동선동1가,0.713647313,0.81728197,0.731130047,0.539094027,7194.401682,30.02774961,2007.438724,89.33333333,7224.429431,92.67198912,60.90520243,0.528756042,85.12255231,성신여대입구,0.094791637,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59231398,127.0182358,25
성북구,안암동3가,0.754733992,0.727216534,0.731130047,0.539094027,8616.501516,32.01229272,1994.309865,156.6666667,8648.513809,91.15724745,65.24320283,0.927296044,111.3802702,보문,0.399877782,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58354637,127.0233367,22
성북구,동소문동7가,0.644198615,0.745938146,0.731130047,0.539094027,21544.1496,48.8010878,2008.946043,74.33333333,21592.95069,77.38876702,66.71647484,0.439972378,82.10791423,성신여대입구,0.481271221,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59632606,127.014198,41
성북구,삼선동4가,0.617086613,0.736133677,0.731130047,0.539094027,14498.74611,35.7227162,2008.544829,177,14534.46883,84.89659222,33.33333333,1.047647233,82.91034296,성신여대입구,0.478852832,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59002477,127.0131677,36
성북구,동소문동5가,0.663638096,0.799313112,0.731130047,0.539094027,12032.71401,54.10836475,2012.0568,67,12086.82237,87.50005598,55.85668323,0.396567032,75.88639951,성신여대입구,0.21397358,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59163936,127.0153866,26
성북구,동소문동1가,0.688767122,0.787222933,0.731130047,0.539094027,9997.812359,33.7606199,1998.390572,51.66666667,10031.57298,89.68614266,42.52470525,0.305810398,103.2188552,한성대입구,0.189666175,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59003933,127.0072644,35
성북구,안암동2가,0.731731284,0.773780935,0.731130047,0.539094027,4685.708745,39.23364633,1999.58341,175.3333333,4724.942391,95.33059364,51.13593559,1.037782381,100.8331806,보문,0.380846429,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.58690019,127.0231867,22
성북구,동소문동6가,0.771934134,0.777017678,0.731130047,0.539094027,8699.371594,42.0802495,2007.545112,172.3333333,8741.451844,91.05839298,93.87373316,1.020025649,84.90977633,성신여대입구,0.284649924,16,46.61146533,123,621,19,1,1,141,984,1284,4906,269.11684,549,30.115195,37.59353155,127.0142556,35
은평구,대조동,0.688765696,0.711862225,0.728274068,0.49629654,11584.94656,24.61815418,2009.570613,2035,11609.56471,88.00769589,54.68578952,12.04498372,80.85877428,구산,0.533993605,21,47.78488318,136,786,16,7,3,153,1614,1716,5683,357.646318,6,0.377596,37.61225614,126.9231529,22
은평구,증산동,0.602684235,0.525549916,0.728274068,0.49629654,25790.24211,25.58261307,2006.800178,703,25815.82472,72.89706459,51.1789779,4.160994377,86.39964337,증산,0.338023672,21,47.78488318,136,786,16,7,3,153,1614,1716,5683,357.646318,6,0.377596,37.58416822,126.9059646,10
은평구,응암동,0.712681887,0.628372419,0.728274068,0.49629654,21519.94281,26.45058638,2009.894874,3918.666667,21546.39339,77.43828815,85.1918544,23.19423893,80.210253,응암,0.849786634,21,47.78488318,136,786,16,7,3,153,1614,1716,5683,357.646318,6,0.377596,37.59383547,126.9231254,31
